freq,phAngle,power,reacPower,rmsCur,rmsVolt,time,equipment
50.0,272,0.104,-3.226,0.013,233.655,2013-12-17 17:33:40,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.744,2013-12-17 17:33:50,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.584,2013-12-17 17:34:00,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.753,2013-12-17 17:34:10,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.562,2013-12-17 17:34:20,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.713,2013-12-17 17:34:30,Coffee_machines
50.0,273,0.104,-3.122,0.013,233.649,2013-12-17 17:34:40,Coffee_machines
50.0,273,0.104,-3.226,0.013,233.663,2013-12-17 17:34:50,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.686,2013-12-17 17:35:00,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.621,2013-12-17 17:35:10,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.628,2013-12-17 17:35:20,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.697,2013-12-17 17:35:30,Coffee_machines
50.0,273,0.104,-3.122,0.013,233.606,2013-12-17 17:35:40,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.739,2013-12-17 17:35:50,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.703,2013-12-17 17:36:00,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.621,2013-12-17 17:36:10,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.694,2013-12-17 17:36:20,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.747,2013-12-17 17:36:30,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.73,2013-12-17 17:36:40,Coffee_machines
50.0,273,0.104,-3.226,0.013,233.715,2013-12-17 17:36:50,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.637,2013-12-17 17:37:00,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.659,2013-12-17 17:37:10,Coffee_machines
50.0,272,0.104,-3.226,0.013,233.845,2013-12-17 17:37:20,Coffee_machines
50.0,0,1173.811,1.248,5.068,230.499,2013-12-17 17:37:30,Coffee_machines
50.0,358,440.569,-4.267,0.445,233.523,2013-12-17 17:37:40,Coffee_machines
50.0,276,363.966,-3.122,0.013,233.707,2013-12-17 17:37:50,Coffee_machines
50.0,275,0.208,-3.226,0.013,234.334,2013-12-17 17:38:00,Coffee_machines
50.0,275,0.208,-3.226,0.013,234.467,2013-12-17 17:38:10,Coffee_machines
50.0,275,0.208,-3.226,0.013,234.405,2013-12-17 17:38:20,Coffee_machines
50.0,275,0.208,-3.226,0.013,234.323,2013-12-17 17:38:30,Coffee_machines
50.0,275,0.312,-3.226,0.013,234.411,2013-12-17 17:38:40,Coffee_machines
50.0,275,0.208,-3.226,0.013,234.377,2013-12-17 17:38:50,Coffee_machines
50.0,275,0.208,-3.226,0.013,234.321,2013-12-17 17:39:00,Coffee_machines
50.0,275,0.208,-3.226,0.013,234.334,2013-12-17 17:39:10,Coffee_machines
50.0,275,82.743,-3.226,0.013,234.279,2013-12-17 17:39:20,Coffee_machines
50.0,275,0.208,-3.226,0.013,234.443,2013-12-17 17:39:30,Coffee_machines
50.0,275,0.312,-3.226,0.013,234.384,2013-12-17 17:39:40,Coffee_machines
50.0,275,0.312,-3.226,0.013,234.471,2013-12-17 17:39:50,Coffee_machines
