0,1,2,3,4,5,6,7
50.0,0,71.294,-1.353,0.307,232.993,2013-12-17 17:50:40,Coffee_machines
50.0,357,39.758,-2.081,0.171,232.916,2013-12-17 17:52:00,Coffee_machines
50.0,0,235.844,-2.497,1.012,233.658,2013-12-17 17:53:50,Coffee_machines
50.0,0,330.453,-3.85,2.708,232.441,2013-12-17 18:01:40,Coffee_machines
50.0,349,9.991,-2.914,0.044,235.808,2013-12-17 18:03:40,Coffee_machines
50.0,2,130.828,7.805,0.557,235.218,2013-12-17 18:05:00,Coffee_machines
50.0,2,1238.757,47.148,5.302,232.814,2013-12-17 18:05:10,Coffee_machines
50.0,0,1188.486,0.936,5.101,232.013,2013-12-17 18:05:20,Coffee_machines
50.0,0,0.0,0.0,0.0,235.053,2013-12-17 18:05:40,Coffee_machines
50.0,276,0.312,-3.226,0.013,234.556,2013-12-17 18:07:30,Coffee_machines
50.0,276,0.312,-3.226,0.013,234.413,2013-12-17 18:08:10,Coffee_machines
50.0,359,82.223,-2.914,0.351,234.126,2013-12-17 18:09:50,Coffee_machines
50.0,276,0.312,-3.226,0.013,234.441,2013-12-17 18:10:00,Coffee_machines
50.0,276,0.312,-3.226,0.013,234.48,2013-12-17 18:11:40,Coffee_machines
50.0,2,1219.814,46.107,5.261,231.058,2013-12-17 18:12:30,Coffee_machines
50.0,0,698.375,-2.601,3.922,232.458,2013-12-17 18:12:40,Coffee_machines
50.0,0,245.211,-2.601,1.052,233.525,2013-12-17 18:12:50,Coffee_machines
50.0,276,0.312,-3.226,0.013,234.289,2013-12-17 18:13:00,Coffee_machines
50.0,276,0.312,-3.226,0.013,234.09,2013-12-17 18:13:10,Coffee_machines
50.0,276,0.312,-3.226,0.013,234.098,2013-12-17 18:13:30,Coffee_machines
50.0,276,0.312,-3.226,0.013,234.064,2013-12-17 18:14:20,Coffee_machines
50.0,2,1020.397,42.048,4.809,231.583,2013-12-17 18:14:30,Coffee_machines
50.0,2,1218.565,46.627,5.255,231.099,2013-12-17 18:14:40,Coffee_machines
50.0,275,0.312,-3.226,0.013,235.328,2013-12-17 18:14:50,Coffee_machines
50.0,275,0.312,-3.226,0.013,235.907,2013-12-17 18:15:00,Coffee_machines
50.0,276,0.312,-3.226,0.013,236.002,2013-12-17 18:15:10,Coffee_machines
50.0,275,0.312,-3.226,0.013,235.996,2013-12-17 18:15:20,Coffee_machines
50.0,0,228.038,-1.665,0.97,235.258,2013-12-17 18:15:30,Coffee_machines
50.0,54,35.907,51.207,0.264,236.517,2013-12-17 18:15:40,Coffee_machines
50.0,275,0.208,-3.226,0.013,236.616,2013-12-17 18:15:50,Coffee_machines
50.0,46,37.78,40.278,0.233,236.477,2013-12-17 18:16:00,Coffee_machines
50.0,2,1243.024,46.731,5.309,233.329,2013-12-17 18:16:10,Coffee_machines
50.0,0,695.981,-1.977,3.922,233.708,2013-12-17 18:16:20,Coffee_machines
50.0,2,1223.249,45.378,5.268,231.391,2013-12-17 18:16:30,Coffee_machines
50.0,0,462.53,-1.665,3.211,233.479,2013-12-17 18:16:40,Coffee_machines
50.0,353,16.965,-3.746,0.074,234.734,2013-12-17 18:16:50,Coffee_machines
50.0,53,35.595,49.437,0.259,235.157,2013-12-17 18:17:10,Coffee_machines
50.0,37,8.014,7.493,0.046,234.589,2013-12-17 18:17:20,Coffee_machines
50.0,55,35.074,49.021,0.257,234.457,2013-12-17 18:17:30,Coffee_machines
50.0,276,0.312,-3.226,0.013,235.262,2013-12-17 18:17:40,Coffee_machines
50.0,2,1021.646,47.46,4.804,232.111,2013-12-17 18:17:50,Coffee_machines
50.0,2,1218.669,44.546,5.256,231.036,2013-12-17 18:18:00,Coffee_machines
50.0,0,1093.253,2.081,4.899,231.38,2013-12-17 18:18:10,Coffee_machines
50.0,359,71.71,-2.393,0.306,234.178,2013-12-17 18:18:20,Coffee_machines
50.0,0,236.156,-2.601,1.013,233.631,2013-12-17 18:18:30,Coffee_machines
50.0,276,0.312,-3.226,0.013,234.382,2013-12-17 18:19:10,Coffee_machines
50.0,346,9.679,-2.706,0.042,234.264,2013-12-17 18:19:30,Coffee_machines
50.0,276,0.312,-3.226,0.013,234.335,2013-12-17 18:20:40,Coffee_machines
50.0,276,0.312,-3.226,0.013,234.16,2013-12-17 18:21:30,Coffee_machines
50.0,276,0.208,-3.226,0.013,234.018,2013-12-17 18:21:40,Coffee_machines
50.0,276,0.312,-3.226,0.013,234.092,2013-12-17 18:22:20,Coffee_machines
50.0,276,0.208,-3.226,0.013,234.154,2013-12-17 18:22:50,Coffee_machines
50.0,359,0.208,-3.226,0.013,234.103,2013-12-17 18:23:20,Coffee_machines
50.0,355,191.194,-3.746,0.82,233.72,2013-12-17 18:23:50,Coffee_machines
50.0,0,0.312,-2.497,0.013,234.024,2013-12-17 18:24:50,Coffee_machines
50.0,333,77.227,-2.81,0.331,233.93,2013-12-17 18:25:50,Coffee_machines
50.0,2,1219.918,45.586,5.26,231.146,2013-12-17 18:26:40,Coffee_machines
50.0,0,16.444,-2.81,0.07,235.129,2013-12-17 18:27:00,Coffee_machines
50.0,0,0.312,-2.393,1.013,233.494,2013-12-17 18:30:50,Coffee_machines
50.0,315,2.289,-3.018,0.016,234.334,2013-12-17 18:31:50,Coffee_machines
50.0,276,0.312,-3.33,0.014,236.322,2013-12-17 18:34:28,Coffee_machines
50.0,0,429.433,-1.769,3.088,235.309,2013-12-17 18:42:17,Coffee_machines
50.0,275,0.312,-3.33,0.013,238.609,2013-12-17 18:43:07,Coffee_machines
50.0,275,98.147,-3.33,0.014,238.297,2013-12-17 18:43:17,Coffee_machines
50.0,275,0.208,-3.33,0.014,238.652,2013-12-17 18:43:27,Coffee_machines
50.0,275,0.312,-3.33,0.014,238.618,2013-12-17 18:43:37,Coffee_machines
50.0,275,0.312,-3.33,0.014,238.325,2013-12-17 18:43:47,Coffee_machines
50.0,0,0.312,-2.497,1.028,236.763,2013-12-17 18:44:07,Coffee_machines
50.0,0,176.623,-1.665,0.331,237.238,2013-12-17 18:45:07,Coffee_machines
50.0,3,67.651,47.564,4.216,235.256,2013-12-17 18:45:17,Coffee_machines
50.0,2,1251.975,47.252,5.331,234.113,2013-12-17 18:45:27,Coffee_machines
50.0,0,958.054,-1.04,4.892,234.569,2013-12-17 18:45:37,Coffee_machines
50.0,276,0.208,-1.873,0.007,237.23,2013-12-17 18:45:47,Coffee_machines
50.0,0,0.0,0.0,0.0,236.386,2013-12-17 18:45:57,Coffee_machines
50.0,0,378.85,-1.977,2.916,237.313,2013-12-17 18:48:47,Coffee_machines
50.0,274,0.208,-3.33,0.013,238.335,2013-12-17 18:48:57,Coffee_machines
50.0,275,0.312,-3.33,0.014,238.454,2013-12-17 18:49:47,Coffee_machines
50.0,356,27.477,-3.85,0.117,236.791,2013-12-17 18:51:57,Coffee_machines
50.0,0,241.673,-2.497,1.024,236.244,2013-12-17 18:52:57,Coffee_machines
50.0,359,96.794,-2.914,0.41,236.72,2013-12-17 18:55:47,Coffee_machines
50.0,352,29.662,-4.163,0.126,236.197,2013-12-17 18:57:27,Coffee_machines
50.0,341,6.452,-3.018,0.03,236.056,2013-12-17 18:57:57,Coffee_machines
50.0,275,0.208,-3.33,0.014,236.722,2013-12-17 18:58:07,Coffee_machines
50.0,274,0.208,-3.33,0.014,236.701,2013-12-17 18:58:27,Coffee_machines
50.0,2,1239.173,47.044,5.304,232.827,2013-12-17 18:58:47,Coffee_machines
50.0,2,1239.173,46.627,5.304,232.828,2013-12-17 18:58:57,Coffee_machines
50.0,2,1237.924,46.315,5.302,232.702,2013-12-17 18:59:07,Coffee_machines
50.0,315,2.601,-3.122,0.017,235.845,2013-12-17 18:59:37,Coffee_machines
50.0,358,134.575,-4.371,0.572,235.453,2013-12-17 19:00:27,Coffee_machines
50.0,359,83.888,-3.018,0.357,235.441,2013-12-17 19:01:37,Coffee_machines
50.0,275,0.312,-3.33,0.014,236.752,2013-12-17 19:01:47,Coffee_machines
50.0,346,8.326,-3.746,0.038,236.794,2013-12-17 19:01:57,Coffee_machines
50.0,354,20.191,-2.497,0.086,236.526,2013-12-17 19:02:27,Coffee_machines
50.0,0,234.179,-2.601,1.0,234.54,2013-12-17 19:04:27,Coffee_machines
50.0,1,1222.937,28.205,5.232,232.934,2013-12-17 19:16:17,Coffee_machines
50.0,346,7.91,-3.018,0.035,237.352,2013-12-17 19:16:57,Coffee_machines
50.0,315,3.434,-3.642,0.021,237.547,2013-12-17 19:20:37,Coffee_machines
50.0,356,29.974,-2.185,0.127,236.949,2013-12-17 19:21:07,Coffee_machines
50.0,272,0.104,-3.33,0.013,239.3,2013-12-17 19:28:37,Coffee_machines
50.0,272,0.104,-3.33,0.013,239.293,2013-12-17 19:28:47,Coffee_machines
50.0,273,0.104,-3.226,0.014,237.394,2013-12-17 19:30:47,Coffee_machines
50.0,272,0.104,-3.33,0.014,237.374,2013-12-17 19:30:57,Coffee_machines
50.0,273,0.104,-3.33,0.014,237.385,2013-12-17 19:31:07,Coffee_machines
50.0,272,0.104,-3.33,0.014,237.381,2013-12-17 19:31:17,Coffee_machines
50.0,273,0.104,-3.33,0.014,237.615,2013-12-17 19:31:27,Coffee_machines
50.0,272,0.104,-3.33,0.014,237.563,2013-12-17 19:31:37,Coffee_machines
50.0,272,0.104,-3.33,0.014,237.547,2013-12-17 19:31:47,Coffee_machines
50.0,273,0.104,-3.33,0.014,237.757,2013-12-17 19:31:57,Coffee_machines
50.0,272,0.104,-3.33,0.014,237.866,2013-12-17 19:32:07,Coffee_machines
50.0,272,0.104,-3.33,0.014,237.867,2013-12-17 19:32:17,Coffee_machines
50.0,272,0.104,-3.33,0.014,237.878,2013-12-17 19:32:27,Coffee_machines
50.0,272,0.104,-3.33,0.014,237.944,2013-12-17 19:32:37,Coffee_machines
50.0,272,0.104,-3.33,0.013,238.021,2013-12-17 19:32:47,Coffee_machines
50.0,272,0.104,-3.33,0.014,237.986,2013-12-17 19:32:57,Coffee_machines
50.0,272,0.104,-3.33,0.014,237.966,2013-12-17 19:33:07,Coffee_machines
50.0,272,0.104,-3.33,0.014,237.836,2013-12-17 19:33:17,Coffee_machines
50.0,273,0.104,-3.33,0.014,237.925,2013-12-17 19:33:27,Coffee_machines
50.0,273,0.104,-3.33,0.014,237.851,2013-12-17 19:33:37,Coffee_machines
50.0,273,0.104,-3.33,0.014,237.862,2013-12-17 19:33:47,Coffee_machines
50.0,0,1392.659,-9.42,6.09,228.761,2011-12-21 15:31:12,Coffee_machines
50.0,273,0.414,-9.316,0.04,233.271,2011-12-21 15:36:52,Coffee_machines
50.0,39,59.834,48.344,0.347,232.927,2011-12-21 15:37:02,Coffee_machines
50.0,2,1446.594,43.892,6.332,228.649,2011-12-21 15:37:12,Coffee_machines
50.0,273,0.517,-9.213,0.04,232.001,2011-12-21 15:37:52,Coffee_machines
50.0,0,1364.812,-10.144,6.028,228.41,2011-12-21 15:49:21,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.799,2011-12-21 15:52:11,Coffee_machines
49.9,273,0.517,-9.213,0.041,232.651,2011-12-21 15:52:21,Coffee_machines
50.0,0,1389.036,-9.42,6.082,228.456,2011-12-21 15:56:52,Coffee_machines
50.1,273,0.414,-9.213,0.04,232.769,2011-12-21 16:00:12,Coffee_machines
50.1,273,0.414,-9.213,0.04,232.874,2011-12-21 16:00:32,Coffee_machines
50.1,273,0.517,-9.213,0.04,232.957,2011-12-21 16:00:42,Coffee_machines
50.1,273,0.517,-9.316,0.04,232.993,2011-12-21 16:00:52,Coffee_machines
50.1,273,0.414,-9.316,0.04,233.054,2011-12-21 16:01:02,Coffee_machines
50.1,273,0.517,-9.316,0.04,233.548,2011-12-21 16:01:12,Coffee_machines
50.1,273,0.414,-9.316,0.04,233.66,2011-12-21 16:01:42,Coffee_machines
50.1,273,0.414,-9.316,0.04,233.652,2011-12-21 16:01:52,Coffee_machines
50.1,273,0.517,-9.316,0.04,233.722,2011-12-21 16:02:12,Coffee_machines
50.1,273,0.517,-9.316,0.04,233.837,2011-12-21 16:02:22,Coffee_machines
50.1,273,0.517,-9.316,0.04,233.685,2011-12-21 16:02:42,Coffee_machines
50.1,273,0.517,-9.316,0.04,233.567,2011-12-21 16:02:52,Coffee_machines
50.1,273,0.517,-9.316,0.04,233.793,2011-12-21 16:03:02,Coffee_machines
50.1,273,0.517,-9.316,0.04,233.719,2011-12-21 16:03:22,Coffee_machines
50.0,0,1308.704,-7.66,5.903,230.13,2011-12-21 16:04:22,Coffee_machines
50.0,273,0.414,-9.316,0.039,233.498,2011-12-21 16:07:12,Coffee_machines
50.0,284,2.277,-9.73,0.22,233.151,2011-12-21 16:15:42,Coffee_machines
50.0,273,0.517,-9.213,0.039,232.048,2011-12-21 16:22:52,Coffee_machines
50.0,273,0.517,-9.213,0.039,231.928,2011-12-21 16:23:12,Coffee_machines
50.0,273,0.517,-9.213,0.039,231.876,2011-12-21 16:23:22,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.142,2011-12-21 16:23:32,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.097,2011-12-21 16:23:42,Coffee_machines
50.0,273,0.517,-9.213,0.039,232.231,2011-12-21 16:23:52,Coffee_machines
50.0,273,0.414,-9.109,0.039,232.068,2011-12-21 16:24:02,Coffee_machines
50.0,273,0.414,-9.109,0.039,231.817,2011-12-21 16:24:12,Coffee_machines
50.0,273,0.414,-9.213,0.039,231.811,2011-12-21 16:24:22,Coffee_machines
50.0,273,0.414,-9.109,0.039,231.754,2011-12-21 16:24:32,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.106,2011-12-21 16:24:42,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.199,2011-12-21 16:25:42,Coffee_machines
50.0,273,0.517,-9.213,0.039,232.183,2011-12-21 16:25:52,Coffee_machines
50.0,273,0.517,-9.213,0.039,231.999,2011-12-21 16:26:02,Coffee_machines
50.0,273,0.517,-9.213,0.039,232.239,2011-12-21 16:26:12,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.362,2011-12-21 16:26:22,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.024,2011-12-21 16:26:32,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.355,2011-12-21 16:26:42,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.361,2011-12-21 16:26:52,Coffee_machines
50.0,273,0.517,-9.213,0.039,232.168,2011-12-21 16:27:02,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.106,2011-12-21 16:27:12,Coffee_machines
50.0,273,0.517,-9.213,0.039,231.972,2011-12-21 16:27:22,Coffee_machines
50.0,273,0.414,-9.109,0.039,231.656,2011-12-21 16:27:32,Coffee_machines
50.0,273,0.414,-9.109,0.039,231.554,2011-12-21 16:27:42,Coffee_machines
50.0,273,0.414,-9.109,0.039,231.068,2011-12-21 16:27:52,Coffee_machines
50.0,273,0.517,-9.109,0.039,231.372,2011-12-21 16:28:02,Coffee_machines
49.9,273,0.517,-9.109,0.039,231.389,2011-12-21 16:28:12,Coffee_machines
50.0,273,0.414,-9.109,0.039,231.407,2011-12-21 16:28:22,Coffee_machines
50.0,273,0.414,-9.109,0.039,231.523,2011-12-21 16:28:32,Coffee_machines
50.0,273,0.414,-9.109,0.039,231.385,2011-12-21 16:28:42,Coffee_machines
50.0,273,0.414,-9.109,0.039,231.576,2011-12-21 16:28:52,Coffee_machines
50.0,273,0.517,-9.109,0.039,231.886,2011-12-21 16:29:02,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.212,2011-12-21 16:29:12,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.597,2011-12-21 16:29:22,Coffee_machines
50.0,273,0.517,-9.213,0.039,233.045,2011-12-21 16:29:32,Coffee_machines
50.0,273,0.414,-9.316,0.039,233.474,2011-12-21 16:29:42,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.925,2011-12-21 16:30:22,Coffee_machines
50.0,273,0.517,-9.213,0.039,233.188,2011-12-21 16:30:32,Coffee_machines
49.9,273,0.414,-9.316,0.04,233.636,2011-12-21 16:31:52,Coffee_machines
50.0,273,0.517,-9.316,0.05,233.892,2011-12-21 16:34:32,Coffee_machines
50.0,326,12.629,-8.902,0.57,233.558,2011-12-21 16:42:03,Coffee_machines
50.0,273,0.414,-9.213,0.04,233.332,2011-12-21 16:44:53,Coffee_machines
50.0,273,0.414,-9.213,0.04,232.998,2011-12-21 16:47:53,Coffee_machines
50.0,273,0.517,-9.213,0.04,233.089,2011-12-21 16:48:03,Coffee_machines
50.0,273,0.517,-9.213,0.039,232.967,2011-12-21 16:48:13,Coffee_machines
50.0,273,0.517,-9.213,0.04,232.993,2011-12-21 16:48:23,Coffee_machines
50.0,273,0.517,-9.213,0.04,233.117,2011-12-21 16:48:33,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.408,2011-12-21 16:48:43,Coffee_machines
50.0,273,0.517,-9.213,0.039,232.775,2011-12-21 16:48:53,Coffee_machines
50.0,273,0.414,-9.213,0.04,232.953,2011-12-21 16:49:03,Coffee_machines
50.0,273,0.414,-9.213,0.04,232.909,2011-12-21 16:49:13,Coffee_machines
50.0,273,0.517,-9.213,0.04,232.887,2011-12-21 16:49:23,Coffee_machines
50.0,359,431.576,-7.142,3.388,231.632,2011-12-21 16:49:33,Coffee_machines
50.0,273,0.414,-9.213,0.04,232.85,2011-12-21 16:49:43,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.786,2011-12-21 16:49:53,Coffee_machines
50.0,273,0.517,-9.213,0.04,232.904,2011-12-21 16:50:03,Coffee_machines
50.0,273,0.517,-9.213,0.039,232.927,2011-12-21 16:50:13,Coffee_machines
50.0,273,0.517,-9.213,0.04,232.878,2011-12-21 16:50:23,Coffee_machines
50.0,273,0.517,-9.213,0.04,233.021,2011-12-21 16:50:33,Coffee_machines
50.0,273,0.517,-9.213,0.04,232.907,2011-12-21 16:50:43,Coffee_machines
50.0,273,0.517,-9.213,0.04,232.647,2011-12-21 16:50:53,Coffee_machines
50.0,273,0.517,-9.213,0.039,232.488,2011-12-21 16:51:03,Coffee_machines
50.0,273,0.414,-9.213,0.039,232.827,2011-12-21 16:51:13,Coffee_machines
50.0,273,0.414,-9.213,0.04,233.158,2011-12-21 16:51:23,Coffee_machines
50.0,273,0.517,-9.213,0.04,233.336,2011-12-21 16:51:33,Coffee_machines
50.0,273,0.517,-9.213,0.04,233.334,2011-12-21 16:51:53,Coffee_machines
50.0,273,0.517,-9.42,0.04,234.573,2011-12-21 16:52:53,Coffee_machines
50.0,273,0.414,-9.42,0.04,234.399,2011-12-21 16:57:53,Coffee_machines
50.0,273,0.517,-9.316,0.04,233.957,2011-12-21 16:59:33,Coffee_machines
50.0,273,0.517,-9.316,0.04,234.207,2011-12-21 16:59:43,Coffee_machines
50.0,273,0.517,-9.316,0.04,234.206,2011-12-21 16:59:53,Coffee_machines
50.0,273,0.517,-9.316,0.04,234.248,2011-12-21 17:00:03,Coffee_machines
50.0,2,1133.341,47.205,5.575,230.755,2011-12-21 17:00:13,Coffee_machines
50.0,1,1443.591,25.258,6.288,229.78,2011-12-21 17:00:23,Coffee_machines
50.0,273,0.517,-9.42,0.04,234.514,2011-12-21 17:00:33,Coffee_machines
50.0,273,0.414,-9.42,0.04,234.626,2011-12-21 17:00:43,Coffee_machines
50.0,1,1474.13,42.96,6.399,230.555,2011-12-21 17:02:03,Coffee_machines
50.0,6,446.897,43.685,3.353,233.675,2011-12-21 17:02:13,Coffee_machines
50.0,359,397.0,-10.041,3.244,233.861,2011-12-21 17:02:23,Coffee_machines
50.1,273,0.517,-9.42,0.04,235.163,2011-12-21 17:02:53,Coffee_machines
50.0,274,0.517,-9.42,0.04,235.095,2011-12-21 17:03:03,Coffee_machines
50.0,274,0.517,-9.42,0.04,235.087,2011-12-21 17:03:13,Coffee_machines
50.0,274,0.517,-9.42,0.04,234.9,2011-12-21 17:03:23,Coffee_machines
50.0,274,0.517,-9.42,0.04,234.925,2011-12-21 17:03:33,Coffee_machines
50.0,274,0.517,-9.42,0.04,235.017,2011-12-21 17:03:43,Coffee_machines
50.0,274,0.621,-9.42,0.04,235.069,2011-12-21 17:03:53,Coffee_machines
50.0,274,0.621,-9.42,0.04,235.041,2011-12-21 17:04:03,Coffee_machines
50.1,274,0.621,-9.42,0.04,235.1,2011-12-21 17:04:23,Coffee_machines
50.0,274,0.621,-9.42,0.04,235.186,2011-12-21 17:04:33,Coffee_machines
50.0,274,0.621,-9.42,0.04,235.223,2011-12-21 17:04:43,Coffee_machines
50.0,274,0.621,-9.42,0.04,235.015,2011-12-21 17:04:53,Coffee_machines
50.0,274,0.621,-9.42,0.04,235.18,2011-12-21 17:05:03,Coffee_machines
50.0,273,0.414,-9.42,0.04,235.048,2011-12-21 17:07:54,Coffee_machines
